<<<<<<< HEAD
"multiply(a , b)",x =,i,i < (b = 6),"add(x , a )",return
"(4 , 6)",0,0,0 < 6,"0 + 4",-
"(4 , 6)",4,1,1 < 6,"4 + 4",
"(4 , 6)",8,2,2 < 6,"8 + 4",
"(4 , 6)",12,3,3 < 6,"12 + 4",
"(4 , 6)",16,4,4 < 6,"16 + 4",
"(4 , 6)",20,5,5 < 6,"20 + 4",
,24,6,6 < 6,"-",x = 24
,,,,,
"power(a , b)",x =,i,i < (b = 4),"multiply(x, a)",return
"(3 , 4)",1,0,0 <  4,"1 * 3",-
"(3 , 4)",3,1,1 < 4,"3 * 3",
"(3 , 4)",9,2,2 < 4,"9 * 3",
"(3 , 4)",27,3,3 < 4,"27 * 3",
"(3 , 4)",81,4,4 < 4,"-",x = 81
,,,,,
"factorial(a)",x =,i,i <= (a = 5),"multiply(x , i)",return
"(5)",1,1,1 <= 5,"1 * 1",-
"(5)",1,2,2 <= 5,"1 * 2",
"(5)",2,3,3 <= 5,"2 * 3",
"(5)",6,4,4 <= 5,"6 * 4",
"(5)",24,5,5 <= 5,"24 * 5",
"(5)",120,6,6 <= 5,"-",x = 120
,,,,,
,,,,,
=======

>>>>>>> 7c8ba0616f6e6ca3b4e39f3b2b06b1fa8854b1dd
